# Study A draw — EXPLORATORY landscape sample
# seed=20260614  population=815 well-posed plane subsets  N=40
# r_cert=0.003 max_boxes=1000000 tlim=600s  box=illustrative (route3_panel.BOX)
0	(1, 2, 7, 10, 12)
1	(1, 2, 4, 14, 18)
2	(1, 2, 3, 10, 14)
3	(1, 2, 9, 16, 17)
4	(1, 2, 8, 12, 15)
5	(1, 2, 4, 16, 20)
6	(1, 2, 5, 6, 18)
7	(1, 2, 12, 16, 19)
8	(1, 2, 3, 14, 18)
9	(1, 2, 10, 16, 19)
10	(1, 2, 3, 7, 9)
11	(1, 2, 4, 5, 18)
12	(1, 2, 3, 6, 15)
13	(1, 2, 10, 11, 15)
14	(1, 2, 14, 16, 20)
15	(1, 2, 10, 13, 18)
16	(1, 2, 13, 16, 17)
17	(1, 2, 8, 11, 15)
18	(1, 2, 3, 4, 18)
19	(1, 2, 5, 7, 10)
20	(1, 2, 10, 11, 13)
21	(1, 2, 17, 19, 20)
22	(1, 2, 8, 14, 19)
23	(1, 2, 3, 9, 12)
24	(1, 2, 5, 7, 13)
25	(1, 2, 4, 7, 11)
26	(1, 2, 7, 17, 18)
27	(1, 2, 10, 13, 20)
28	(1, 2, 7, 10, 13)
29	(1, 2, 3, 5, 19)
30	(1, 2, 11, 13, 15)
31	(1, 2, 6, 14, 15)
32	(1, 2, 5, 12, 17)
33	(1, 2, 7, 10, 15)
34	(1, 2, 10, 17, 19)
35	(1, 2, 6, 12, 18)
36	(1, 2, 3, 17, 19)
37	(1, 2, 8, 14, 16)
38	(1, 2, 6, 10, 11)
39	(1, 2, 3, 10, 11)
